cchoice,food_code,sugnt,whgnt,calcnt,fibnt,Cereal_Name
AK,57103100,3,3,3,2,"Cheerios, Apple Cinnamon"
AL,57106260,3,3,3,3,"Cheerios, Berry Burst"
AM,57106260,3,3,3,3,"Cheerios, Berry Burst Strawberry"
AN,57106260,3,3,3,3,"Cheerios, Berry Burst Triple Berry"
AO,57106260,3,3,3,3,"Cheerios, Berry Burst, Cherry Vanilla"
AP,57106260,3,3,3,3,"Cheerios, Berry Burst, Strawberry Banana"
AQ,57213850,3,3,3,2,"Cheerios, Frosted"
AR,57241000,3,3,3,2,"Cheerios, Honey Nut"
AS,57308400,2,3,3,3,"Cheerios, Multi Grain"
AT,57213850,3,3,3,2,"Cheerios, Team"
AU,57419000,3,3,3,2,"Cheerios, Yogurt Burst, Strawberry"
AV,57419000,3,3,3,2,"Cheerios, Yogurt Burst, Vanilla"
AW,56201060,1,1,3,1,Cheese grits
AX,57124000,2,3,3,2,Chex
AY,57240100,3,2,3,2,Chex Morning Mix Banana Nut
AZ,57240100,3,2,3,2,Chex Morning Mix Cinnamon
BA,57240100,3,2,3,2,Chex Morning Mix Fruit & Nut
BB,57240100,3,2,3,2,Chex Morning Mix Honey Nut
BC,57111000,2,2,3,3,"Chex, Bran"
BD,57132000,2,2,3,2,"Chex, Corn"
BE,57240100,3,2,3,2,"Chex, Honey Nut"
BF,57308300,2,2,3,3,"Chex, Multi-Bran"
BG,57336000,2,3,3,2,"Chex, Rice"
BH,57411000,2,3,3,3,"Chex, Wheat"
BI,57124200,3,1,2,2,Chocolate frosted cereal
BJ,57330010,3,2,2,3,Cinnamon Cluster Raisin Bran
BK,57148000,2,1,1,1,Cinnamon Crunch Crispix
BL,57124500,3,2,3,2,Cinnamon Grahams Cereal
BM,57305150,3,2,2,2,Cinnamon Marshmallow Scooby Doo!
BN,57125000,3,2,3,2,Cinnamon Toast Crunch
BO,57125010,2,3,3,3,"Cinnamon Toast Crunch, Reduced Sugar"
BP,57305170,3,2,3,1,"Coco-Roos, Malt-O-Meal"
BQ,57126500,3,1,1,2,Cocoa Blasts
BR,57124200,3,1,2,2,Cocoa Comets
BS,57305300,3,1,1,1,"Cocoa Dyno Bites, Malt-O-Meal"
BT,57126000,3,1,3,1,Cocoa Krispies
BU,57127000,3,1,1,1,Cocoa Pebbles
BV,57128000,3,2,3,3,Cocoa Puffs
BW,57407110,3,2,3,2,"Cocoa Puffs, Reduced Sugar"
BX,56207370,1,2,1,1,Cocoa Wheats
BY,57208000,2,3,2,3,Complete Bran Flakes
BZ,57128880,2,2,2,3,Complete Oat Bran Flakes
CA,57208000,2,3,2,3,Complete Wheat Bran Flakes
CB,57130000,3,3,3,2,Cookie-Crisp (all flavors)
CC,57305180,3,1,1,1,"Corn Bursts, Malt-O-Meal"
CD,57135000,2,1,1,2,"Corn Flakes, Kellogg's"
CE,57347000,3,1,1,3,Corn Pops
CF,57137000,2,3,3,3,Corn Puffs
CG,57134000,2,1,1,2,Corn flakes
CH,57134090,2,1,2,1,"Corn flakes, low sodium"
CI,56201510,1,1,1,1,Cornmeal mush
,56201520,1,1,1,1,"Cornmeal mush, fried"
,56201540,2,1,3,1,"Cornmeal, made with milk and sugar, Puerto Rican Style (Harina de maiz)"
,56201700,1,1,3,1,"Cornstarch with milk, eaten as a cereal (2 tbsp cornstarch in 2-1/2 cups milk)"
CJ,57139000,3,2,3,2,Count Chocula
CK,57143000,3,2,2,3,Cracklin' Oat Bran
CL,57143500,2,2,2,2,Cranberry Almond Crunch Cereal
CM,56205050,1,1,1,1,Cream of Rice
CN,56209000,1,1,1,1,Cream of Rye
CO,56206990,1,1,2,1,Cream of Wheat
CP,57144000,3,1,1,2,Crisp Crunch
CQ,57148000,2,1,1,1,Crispix
CR,57148500,2,3,2,2,Crispy Brown Rice Cereal
CS,57151000,2,1,1,1,Crispy Rice
CT,57305200,2,1,1,1,"Crispy Rice, Malt-O-Meal"
CU,57152000,2,2,1,3,Crispy Wheats'N Raisins
CV,57131000,2,1,2,3,Crunchy Corn Bran
CW,57201800,3,1,3,1,Disney Cereal
CX,57201800,3,1,3,1,Disney Hunny B's
CY,57201800,3,1,3,1,Disney Mickey's Magix
CZ,57201800,3,1,3,1,Disney Mud & Bugs
,57201900,2,2,3,3,Dora the Explorer Cereal
DA,57603200,1,1,2,3,Ener-G Pure Rice Bran
DB,57206000,2,3,3,3,Familia
DC,56206990,1,1,2,1,Farina
DD,57206800,1,3,2,3,Fiber 7 Flakes
DE,57206700,1,3,3,3,Fiber One
DF,57211000,3,2,3,2,Frankenberry
DG,57212100,3,3,3,2,French Toast Crunch
DH,57213000,3,3,1,3,Froot Loops
DI,57349000,3,1,1,1,"Frosted Flakes, Kellogg's"
DJ,57305210,3,1,1,1,"Frosted Flakes, Malt-O-Meal"
DK,57221700,3,3,1,3,Frosted Fruit Rings
DL,57214100,2,3,1,3,"Frosted Mini Spooners, Malt-O-Meal"
DM,57214000,2,3,2,3,Frosted Mini Wheats
DN,57214000,2,3,2,3,Frosted Shredded Wheat
DO,57214100,2,3,1,3,Frosted Wheat Bites
DP,57305150,3,2,2,2,"Frosted cereal, with marshmallows"
DQ,57348000,3,1,1,1,Frosted corn flakes
DR,57348000,3,1,1,1,Frosted flakes
DS,57216000,3,1,1,1,Frosted rice
DT,57215000,3,3,3,2,Frosty O's
DU,57219000,2,2,2,3,Fruit & Fibre (fiber)
DV,57221000,2,2,2,3,"Fruit & Fibre (fiber) with Dates, Raisins and Walnuts"
DW,57221000,2,2,2,3,"Fruit & Fibre (fiber) with Peaches, Raisins, Almonds, and Oat Clusters"
DX,57221650,3,2,2,2,Fruit Harvest
DY,57221650,3,2,2,2,Fruit Harvest Apple Cinnamon
DZ,57221650,3,2,2,2,Fruit Harvest Strawberry Blueberry
EA,57213000,3,3,1,3,Fruit Loops
EB,57221700,3,3,1,3,Fruit Rings
EC,57221800,3,3,1,3,Fruit Whirls
ED,56203080,2,2,2,1,Fruit and Cream Oatmeal
,57221810,3,3,3,3,Fruity Cheerios
EE,57305300,3,1,1,1,"Fruity Dyno Bites, Malt-O-Meal"
EF,57223000,3,1,1,1,Fruity Pebbles
,54350010,3,2,3,2,"Gerber Finger Foods, Puffs, baby food"
,57824500,1,1,1,1,Gerber cereal rice & mixed fruit
EG,57355000,3,1,1,2,Golden Crisp
EH,57224000,3,2,3,2,Golden Grahams
EI,57306500,3,1,2,2,"Golden Puffs, Malt-O-Meal"
EJ,57227000,2,3,2,3,Granola
EK,57228000,2,2,2,3,"Granola, homemade"
EL,57229000,3,3,2,2,"Granola, lowfat"
EM,57229000,3,3,2,2,"Granola, lowfat, Kellogg's"
EN,57229500,2,2,2,2,"Granola, lowfat, with Raisins, Kellogg's"
EO,57230000,1,3,2,3,Grape Nut O's
EP,57230000,1,3,2,3,Grape-Nuts
EQ,57231000,2,3,2,3,Grape-Nuts Flakes
ER,57231250,2,3,2,3,Great Grains Crunchy Pecan Whole Grain Cereal
ES,57231200,2,3,2,3,"Great Grains, Raisins, Dates, and Pecans Whole Grain Cereal"
ET,56201230,1,1,2,1,Grits
,56200990,1,1,1,1,"Grits, cooked, corn or hominy, NS as to regular, quick or instant, NS as to fat added in cooking"
,56201300,1,1,3,1,"Grits, cooked, corn or hominy, NS as to regular, quick, or instant, NS as to fat added in cooking, made with milk"
,56201040,1,1,1,1,"Grits, cooked, corn or hominy, NS as to regular, quick, or instant, fat added in cooking"
,56201000,1,1,1,1,"Grits, cooked, corn or hominy, NS as to regular, quick, or instant, fat not added in cooking"
,56201210,1,1,2,1,"Grits, cooked, corn or hominy, instant, fat not added in cooking"
,56201120,1,1,1,1,"Grits, cooked, corn or hominy, quick, fat added in cooking"
,56201110,1,1,1,1,"Grits, cooked, corn or hominy, quick, fat not added in cooking"
,56201030,1,1,1,1,"Grits, cooked, corn or hominy, regular, NS as to fat added in cooking"
,56201020,1,1,1,1,"Grits, cooked, corn or hominy, regular, fat added in cooking"
,56201010,1,1,1,1,"Grits, cooked, corn or hominy, regular, fat not added in cooking"
,56201092,1,1,3,1,"Grits, cooked, corn or hominy, with cheese, instant, fat added in cooking"
,56201091,1,1,3,1,"Grits, cooked, corn or hominy, with cheese, instant, fat not added in cooking"
,56201081,1,1,3,1,"Grits, cooked, corn or hominy, with cheese, quick, fat not added in cooking"
,56201072,1,1,3,1,"Grits, cooked, corn or hominy, with cheese, regular, fat added in cooking"
,56201071,1,1,3,1,"Grits, cooked, corn or hominy, with cheese, regular, fat not added in cooking"
EU,56201530,1,1,3,1,Harina de maize con leche
EV,57148600,2,1,3,2,Harmony Vanilla Almond Oats
EW,57301512,2,2,3,3,Healthy Choice
EX,57237100,2,2,1,2,Honey Bunches of Oat Honey Roasted
EY,57237100,2,2,1,2,Honey Bunches of Oat with Strawberry
EZ,57237100,2,2,1,2,Honey Bunches of Oats
FA,57237300,2,2,2,2,Honey Bunches of Oats with Almonds
,57237200,2,3,1,2,"Honey Bunches of Oats with Vanilla Clusters, Post"
FB,57238000,3,2,1,2,"Honey Buzzers, Malt-O-Meal"
FC,57305210,3,1,1,1,Honey Crisp Corn Flakes
FD,57239100,3,1,2,2,Honey Crunch Corn Flakes
FE,57224000,3,2,3,2,"Honey Graham Squares, Malt-O-Meal"
FF,57125900,3,2,1,2,Honey Nut Clusters
FG,57346500,3,3,3,2,Honey Nut Heaven
FH,57241200,2,3,2,3,Honey Nut Shredded Wheat
FI,57243000,3,1,2,2,Honey Smacks
FJ,57238000,3,2,1,2,Honeycomb
FK,57239000,3,2,1,2,"Honeycomb, strawberry"
LO,56200300,1,2,1,1,"Hot Cereal, NFS"
FL,56201230,1,1,2,1,"Instant Grits, all flavors"
FM,57243870,1,2,1,2,Jenny O's
FN,57244000,2,3,2,2,Just Right
FO,57245000,2,2,2,2,Just Right with Fruit & Nut
FP,57301100,2,2,3,2,Kaboom
FQ,56200490,1,2,1,2,Kasha
FR,57000050,1,3,2,3,Kashi
,57301505,2,3,1,3,Kashi Autumn Wheat
FS,57301510,2,2,3,3,Kashi GOLEAN
,57301511,2,3,2,3,Kashi GOLEAN Crunch
FT,57301520,2,2,2,3,Kashi Good Friends
FU,57301520,2,2,2,3,Kashi Good Friends Cinna-Raisin Crunch
FV,57301530,2,3,2,3,Kashi Heart to Heart Cereal
FW,57301500,1,3,2,3,Kashi Honey Puffed
FX,57301520,2,2,2,3,Kashi Medley
FY,57301530,2,3,2,3,Kashi Organic Promise
FZ,57301530,2,3,2,3,Kashi Pilaf
GA,57301530,2,3,2,3,Kashi Pillows
GB,57301520,2,2,2,3,Kashi Seven in the Morning
GC,57301500,1,3,2,3,"Kashi, Puffed"
GD,57303100,2,3,3,3,Kix
GE,57106250,2,3,3,2,"Kix, Berry Berry"
GF,57304100,2,3,3,2,Life (plain and cinnamon)
GG,57305100,3,2,3,2,Lucky Charms
GH,57124300,3,3,3,2,"Lucky Charms, Berry"
GI,57124300,3,3,3,2,"Lucky Charms, Chocolate"
GJ,57305150,3,2,2,2,Magic Stars
GK,56207340,1,2,1,1,Malt-O-Meal
GL,56207370,1,2,1,1,"Malt-O-Meal, chocolate"
GM,56207340,1,2,1,1,Maltex
,57307010,2,3,2,2,"Maple Pecan Crunch Cereal, Post"
GN,57305600,3,3,3,2,"Marshmallow Mateys, Malt-O-Meal"
GO,57307150,3,1,2,2,Marshmallow Safari
GP,56201600,1,1,2,1,Masa harina
GQ,56203110,1,2,2,2,Maypo
GR,56201990,1,2,1,1,Millet
GS,57307500,1,3,1,2,"Millet, puffed"
,57307600,2,2,2,2,"Mini-Swirlz Cinnamon Bun Cereal, Kellogg's"
GT,57417000,1,3,2,3,Mini-Wheats
GU,57214000,2,3,2,3,Mini-Wheats Frosted Bite Size
GV,57214000,2,3,2,3,Mini-Wheats Frosted Original
GW,57214000,2,3,2,3,Mini-Wheats Frosted Raisin
GX,57214000,2,3,2,3,Mini-Wheats Frosted Strawberry
GY,57100100,2,3,3,2,"Mother's Natural Foods Cereal, Quaker"
GZ,57308190,2,2,1,2,Muesli
HA,57308150,2,3,3,3,Muesli(x)
HB,56203600,1,2,1,2,Multigrain Oatmeal
HC,56203600,1,2,1,2,Multigrain cereal
HD,57209000,2,2,2,3,Natural Bran Flakes
HE,57309100,3,3,2,2,Nature Valley Granola
HF,57309100,3,3,2,2,"Nature Valley Granola, with fruit and nuts"
HG,57124200,3,1,2,2,Nesquik
HH,56210000,2,2,3,1,Nestum
HI,57311700,1,3,3,3,Nu System Cuisine Toasted Grain Circles
HJ,57418000,2,3,2,3,Nutri-Grain
HK,57152000,2,2,1,3,Nutri-Grain Golden Wheat and Raisin
HL,57316200,1,3,2,3,Nutty Nuggets
HM,57100100,2,3,3,2,OS
HN,57327450,2,2,3,3,"Oat Bran Cereal, Quaker"
HO,57316300,2,2,2,3,"Oat Bran Flakes, Health Valley"
HP,57327450,2,2,3,3,Oat bran cereal
,56208500,1,1,1,1,"Oat bran cereal, cooked, fat not added in cooking"
HQ,57602500,1,1,2,3,Oat bran uncooked
HR,57000100,2,3,3,3,Oat cereal
HS,57316300,2,2,2,3,Oat flakes
HT,56202960,1,2,1,1,Oatmeal
HU,57316410,3,3,2,2,Oatmeal Crisp
HV,57316450,3,3,2,3,Oatmeal Crisp with Almonds
HW,57316410,3,3,2,2,"Oatmeal Crisp, Apple Cinnamon"
HX,57316500,3,3,2,3,"Oatmeal Crisp, Raisin"
HY,57327500,2,3,3,3,Oatmeal Squares
HZ,56203080,2,2,2,1,Oatmeal Swirlers
,56203000,1,2,1,1,"Oatmeal, cooked, NS as to regular, quick or instant, fat not added in cooking"
,56203040,1,2,1,1,"Oatmeal, cooked, NS as to regular, quick, or instant, fat added in cooking"
,56203030,2,2,2,1,"Oatmeal, cooked, instant, fat not added in cooking"
,56203223,2,2,3,1,"Oatmeal, cooked, instant, made with milk, fat added in cooking"
,56203213,2,2,3,1,"Oatmeal, cooked, instant, made with milk, fat not added in cooking"
,56202970,1,2,1,1,"Oatmeal, cooked, quick (1 or 3 minutes), NS as to fat added in cooking"
,56203060,1,2,1,1,"Oatmeal, cooked, quick (1 or 3 minutes), fat added in cooking"
,56203020,1,2,1,1,"Oatmeal, cooked, quick (1 or 3 minutes), fat not added in cooking"
,56203222,1,2,3,1,"Oatmeal, cooked, quick (1 or 3 minutes), made with milk, fat added in cooking"
,56203212,1,2,3,1,"Oatmeal, cooked, quick (1 or 3 minutes), made with milk, fat not added in cooking"
,56203050,1,2,1,1,"Oatmeal, cooked, regular, fat added in cooking"
,56203010,1,2,1,1,"Oatmeal, cooked, regular, fat not added in cooking"
,56203231,1,2,3,1,"Oatmeal, cooked, regular, made with milk, NS as to fat added in cooking"
,56203221,1,2,3,1,"Oatmeal, cooked, regular, made with milk, fat added in cooking"
,56203211,1,2,3,1,"Oatmeal, cooked, regular, made with milk, fat not added in cooking"
,56203610,1,2,1,2,"Oatmeal, multigrain, cooked, fat not added in cooking"
IA,57602100,1,3,2,3,"Oats, raw"
IB,57316710,3,1,1,1,Oh's
IC,57316750,3,1,1,2,"Oh's, Apple Cinnamon"
ID,57316750,3,1,1,2,"Oh's, Fruitangy"
IE,57316710,3,1,1,1,"Oh's, Honey Graham"
IF,56202980,1,2,1,1,Old Wessex Irish Style Oatmeal
IG,57321800,2,3,3,3,"Optimum Slim, Nature's Path"
IH,57321700,3,2,3,3,"Optimum, Nature's Path"
II,57322500,3,1,1,2,Oreo O's Cereal
IJ,57324000,3,2,3,2,Peanut Butter Toast Crunch
IK,56201510,1,1,1,1,Polenta
IL,57325000,2,1,1,2,Product 19
IM,57306100,1,1,1,1,"Puffed Rice, Malt-O-Meal"
IN,57306120,1,3,2,3,"Puffed Wheat, Malt-O-Meal"
IO,56203080,2,2,2,1,Quaker Dinosaur Eggs oatmeal
IP,56203080,2,2,2,1,Quaker Fruit and Cream Oatmeal
IQ,56201230,1,1,2,1,"Quaker Instant Grits, all flavors"
IR,56203600,1,2,1,2,Quaker Multigrain Oatmeal
IS,56203080,2,2,2,1,Quaker Oatmeal Express
IT,56202960,1,2,1,1,Quaker Oatmeal Nutrition for Women
IU,57327500,2,3,3,3,Quaker Oatmeal Squares
IV,57328000,3,2,1,2,Quisp
IW,57330010,3,2,2,3,Raisin Bran Crunch
IX,57330000,2,3,2,3,"Raisin Bran, Kellogg's"
IY,57331000,2,3,2,3,"Raisin Bran, Post"
IZ,57332100,2,3,2,3,Raisin Nut Bran
JA,57329000,2,3,2,3,Raisin bran
,57349020,2,1,1,1,"Reduced Sugar Frosted Flakes Cereal, Kellogg's"
JB,57335550,3,3,3,2,Reese's Peanut Butter Puffs
JC,57339000,2,1,1,1,Rice Krispies
,57339100,3,1,1,1,"Rice Krispies with Real Strawberries, Kellogg's"
JD,57218000,3,1,1,1,"Rice Krispies, Frosted"
JE,57339500,3,1,1,1,"Rice Krispies, Treats Cereal"
JF,57603200,1,1,2,3,"Rice bran, uncooked"
JG,57337000,2,1,1,1,Rice cereal
,57805080,1,3,3,2,"Rice cereal with apples, baby food"
,57824000,1,2,1,1,"Rice cereal with applesauce and bananas, baby food, jarred"
JH,57337000,2,1,1,1,Rice flakes
JI,57603100,1,1,2,3,Rice polishings
JJ,57340000,1,1,1,1,"Rice, puffed"
JK,56207190,1,2,1,1,Roman Meal
JL,56203600,1,2,1,2,Seven-grain Cereal
JM,56203600,1,2,1,2,Seven-grain cereal
JN,57417000,1,3,2,3,Shredded Wheat
JO,57341000,1,3,2,3,Shredded Wheat 'N Bran
JP,57417000,1,3,2,3,Shredded Wheat Spoon Size
JQ,57417000,1,3,2,3,"Shredded Wheat, 100%"
JR,57417000,1,3,2,3,"Shredded Wheat, Original"
JS,57243000,3,1,2,2,Smacks
JT,57341200,3,2,2,2,Smart Start
JU,57342010,3,2,2,2,Smorz
JV,57344000,2,1,2,3,Special K
,57344005,3,2,1,2,Special K Chocolatey Delight
,57344025,3,2,2,3,"Special K Cinnamon Pecan, Kellogg's"
JW,57344015,2,2,2,2,Special K Fruit & Yogurt
JX,57344000,2,1,2,3,Special K Low Carb Lifestyle Protein Plus
JY,57344010,3,2,1,3,Special K Red Berries
JZ,57344020,3,2,2,2,Special K Vanilla Almond
KA,57103500,2,3,2,3,Strawberry Squares
KB,57319500,2,3,2,2,"Sun Country 100% Natural Granola, with Almonds"
KC,57323000,3,2,1,2,Sweet Crunch
KD,57323050,3,3,1,2,Sweet Puffs
KE,57401100,2,3,3,3,Tasteeos
KF,57124500,3,2,3,2,"Toasted Cinnamon Twists, Malt-O-Meal"
KG,57401100,2,3,3,3,Toasted Oatmeal Cereal
KH,57346500,3,3,3,2,"Toasted Oatmeal, Honey Nut"
KI,57401100,2,3,3,3,Toasted oat cereal
KJ,57403100,2,1,1,2,Toasties
KK,57404200,3,3,3,2,"Toasty O's, Apple Cinnamon, Malt-O-Meal"
KL,57305500,3,3,3,2,"Toasty O's, Honey and Nut, Malt-O-Meal"
KM,57404100,1,3,3,3,"Toasty O's, Malt-O-Meal"
KN,57349000,3,1,1,1,Tony's Cinnamon Crunchers
KO,57306800,3,1,3,2,"Tootie Fruities, Malt-O-Meal"
KP,57406100,2,3,3,3,Total
KQ,57406105,3,3,3,2,Total Brown Sugar & Oats
KR,57138000,2,3,3,2,Total Corn Flakes
KS,56203080,2,2,2,1,Total Instant Oatmeal
KT,57332050,2,3,3,3,Total Raisin Bran
KU,57407100,3,3,3,2,Trix
KV,57407110,3,2,3,2,"Trix, Reduced Sugar"
KW,57408100,1,3,2,3,Uncle Sam's Hi Fiber Cereal
KX,56203080,2,2,2,1,Under Cover Bears
KY,57409100,3,3,1,1,Waffle Crisp
KZ,57410000,1,3,2,3,Weetabix Whole Wheat Cereal
LA,56207290,1,2,1,1,Wheat Hearts
LB,57601100,1,1,2,3,"Wheat bran, unprocessed (miller's bran)"
LC,56207190,1,2,1,1,Wheat cereal
LD,57412000,1,1,2,3,Wheat germ
LE,57413000,3,1,2,3,"Wheat germ, with sugar and honey"
,56207080,1,1,2,1,"Wheat, cream of, cooked, NS as to regular, quick, or instant, fat added in cooking"
,56207060,1,1,2,1,"Wheat, cream of, cooked, instant, fat added in cooking"
,56207030,1,1,2,1,"Wheat, cream of, cooked, instant, fat not added in cooking"
,56207040,1,1,3,1,"Wheat, cream of, cooked, made with milk"
,56206970,1,1,2,1,"Wheat, cream of, cooked, quick, NS as to fat added in cooking"
,56207230,1,1,2,1,"Wheat, cream of, cooked, quick, fat added in cooking"
,56207020,1,1,2,1,"Wheat, cream of, cooked, quick, fat not added in cooking"
,56207220,1,1,2,1,"Wheat, cream of, cooked, regular, fat added in cooking"
,56207010,1,1,2,1,"Wheat, cream of, cooked, regular, fat not added in cooking"
LF,57416000,1,3,2,3,"Wheat, puffed"
LG,57416010,3,1,1,2,"Wheat, puffed, presweetened with sugar"
,56207140,1,2,1,1,"Wheat, rolled, cooked, NS as to fat added in cooking"
LH,56207190,1,2,1,1,Wheatena
LI,57418000,2,3,2,3,Wheaties
LJ,57143500,2,2,2,2,Wheaties Energy Crunch
LK,57329000,2,3,2,3,Wheaties Raisin Bran
LL,56207190,1,2,1,1,Whole wheat cereal
,56207200,1,2,1,1,"Whole wheat cereal, cooked, fat not added in cooking"
,56207300,1,2,1,1,"Whole wheat cereal, wheat and barley, cooked, fat not added in cooking"
LM,57604100,1,3,2,3,"Whole wheat, cracked"
LN,56207190,1,2,1,1,Zoom
