Source,Number of sources,Variable,Task,Ethnicity,Age ,Age_sign1,Age_value1,Age_sign2,Age_value2,Unit,Sex,Education,Socioeconomic status,Sign_1,Cut_off_value_1,Sign_2,Cut_off_value_2,Unit,Interpretation 1,Interpretation 2,Comments
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,Daytime dysfunction due to sleepiness,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>=,0,<=,3,NA,0 (better) -3 (worse),NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,Sleep efficiency,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>=,0,<=,3,NA,0 (better) -3 (worse),NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,Overall sleep quality,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>=,0,<=,3,NA,0 (better) -3 (worse),NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,Need meds to sleep,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>=,0,<=,3,NA,0 (better) -3 (worse),NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,PSQI Total Score,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,<=,5,NA,NA,NA,Good sleep quality,NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,PSQI Total Score,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>,5,NA,NA,NA,Poor sleep quality,NA,NA
https://health.gov/paguidelines/pdf/paguide.pdf,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,0,NA,NA,minutes/week,Inactive; No health benefit,Being inactive is unhealthy,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,150,NA,NA,minutes moderate-intensity activity/week,Low active; Some health benefit,Low levels of activity are preferable to an inactive lifestyle,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,150,<=,300,minutes moderate-intensity activity/week,Medium active; Substantial health benefit,Activity at the high end of this range has additional and more extensive health benefts than activity at the low end,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>,300,NA,NA,minutes moderate-intensity activity/week,High active; Additional health benefit,No upper limit of activity ,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,75,NA,NA,minutes vigorous-intensity activity/week,Low activity,NA,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,75,<=,150,minutes vigorous-intensity activity/week,Medium activity,NA,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,500,<=,1000,MET-minutes/week,Medium activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,<,30,NA,NA,minutes moderate-intensity activity/day,Low activity,NA,Individuals who do not meet criteria for categories Moderate or High are considered low/inactive
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,30,NA,NA,minutes moderate-intensity activity/day,Moderate activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>,60,NA,NA,minutes moderate-intensity activity/day,High activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,30,NA,NA,minutes vigorous-intensity activity/day,High activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,3,NA,NA,days vigorous-intensity activity of at least 20 minutes per day,Moderate activity,NA,NA
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,5,NA,NA,days of moderate-intensity activity and/or walking of at least 30 minutes per day,Moderate activity,NA,NA
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,<,600,NA,NA,MET-minutes/week,Low activity,NA,Individuals who do not meet criteria for categories Moderate or High are considered low/inactive
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,600,NA,NA,MET-minutes/week,Moderate activity,NA,"Achieved by 5 or more days of any combination of walking, moderate-intensity or vigorous intensity activities"
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,1500,NA,NA,MET-minutes/week of vigorous intensity activity,High activity,NA,Achieved by vigorous-intensity activity on at least 3 days
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,3000,NA,NA,MET-minutes/week of moderate intensity activity,High activity,NA,"Achieved by 7 or more days of any combination of walking, moderate-intensity or vigorous-intensity activities"
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,<,12500,NA,NA,steps/day,Low activity,NA,Individuals who do not meet criteria for categories Moderate or High are considered low/inactive
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Physical activity level,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,12500,NA,NA,steps/day,High activity,NA,NA
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,2,Walking physical activity      ,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,30,NA,NA,minutes/day of walking,Moderate activity,NA,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,150,NA,NA,minutes moderate-intensity activity/week,Low active; Some health benefit,NA,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,150,<=,300,minutes moderate-intensity activity/week,Medium active; Substantial health benefit,NA,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>,300,NA,NA,minutes moderate-intensity activity/week,High active; Additional health benefit,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,<,30,NA,NA,minutes moderate-intensity activity/day,Low activity,NA,Individuals who do not meet criteria for categories Moderate or High are considered low/inactive
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,30,NA,NA,minutes moderate-intensity activity/day,Moderate activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>,60,NA,NA,minutes moderate-intensity activity/day,High activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,5,NA,NA,days of moderate-intensity activity and/or walking of at least 30 minutes per day,Moderate activity,NA,NA
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,600,NA,NA,MET-minutes/week,Moderate activity,NA,"Achieved by 5 or more days of any combination of walking, moderate-intensity or vigorous intensity activities"
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,3000,NA,NA,MET-minutes/week of moderate intensity activity,High activity,NA,"Achieved by 7 or more days of any combination of walking, moderate-intensity or vigorous-intensity activities"
https://health.gov/paguidelines/pdf/paguide.pdf,3,Vigorous physical activity,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,75,NA,NA,minutes vigorous-intensity activity/week,Low activity,NA,Activity over and above baseline activities
https://health.gov/paguidelines/pdf/paguide.pdf,3,Vigorous physical activity,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,75,<=,150,minutes vigorous-intensity activity/week,Medium activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Vigorous physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,30,NA,NA,minutes vigorous-intensity activity/day,High activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Vigorous physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,3,NA,NA,days vigorous-intensity activity of at least 20 minutes per day,Moderate activity,NA,NA
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Vigorous physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,1500,NA,NA,MET-minutes/week of vigorous intensity activity,High activity,NA,Achieved by vigorous-intensity activity on at least 3 days
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Vigorous physical activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,3000,NA,NA,MET-minutes/week of moderate intensity activity,High activity,NA,"Achieved by 7 or more days of any combination of walking, moderate-intensity or vigorous-intensity activities"
https://health.gov/paguidelines/pdf/paguide.pdf,3,Total energy expenditure in activity,International Physical Activity Questionnaire (IPAQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,500,<=,1000,MET-minutes/week,Medium activity,NA,Activity over and above baseline activities
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Total energy expenditure in activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,<,600,NA,NA,MET-minutes/week,Low activity,NA,Individuals who do not meet criteria for categories Moderate or High are considered low/inactive
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Total energy expenditure in activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,600,NA,NA,MET-minutes/week,Moderate activity,NA,"Achieved by 5 or more days of any combination of walking, moderate-intensity or vigorous intensity activities"
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Total energy expenditure in activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,1500,NA,NA,MET-minutes/week of vigorous intensity activity,High activity,NA,Achieved by vigorous-intensity activity on at least 3 days
https://sites.google.com/site/theipaq/scoring-protocol; https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnx0aGVpcGFxfGd4OjE0NDgxMDk3NDU1YWRlZTM,3,Total energy expenditure in activity,International Physical Activity Questionnaire (IPAQ),NA,15 - 69 years,>=,15,<=,69,years,NA,NA,NA,>=,3000,NA,NA,MET-minutes/week of moderate intensity activity,High activity,NA,"Achieved by 7 or more days of any combination of walking, moderate-intensity or vigorous-intensity activities"
http://dx.doi.org/10.1046/j.1525-1497.2001.016009606.x,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=,4,NA,NA,NA,Minimal depression,NA,NA
http://dx.doi.org/10.1046/j.1525-1497.2001.016009606.x,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,5,<=,9,NA,Mild depression,NA,NA
http://dx.doi.org/10.1046/j.1525-1497.2001.016009606.x,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,10,<=,14,NA,Moderate depression,NA,NA
http://dx.doi.org/10.1046/j.1525-1497.2001.016009606.x,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,15,<=,19,NA,Moderately severe depression,NA,NA
http://dx.doi.org/10.1046/j.1525-1497.2001.016009606.x,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,20,<=,27,NA,Severe depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=,4,NA,NA,NA,Minimal depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,5,<=,9,NA,Mild depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,10,<=,14,NA,Moderate depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,15,<=,19,NA,Moderately severe depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),African American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,20,<=,27,NA,Severe depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Chinese American,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=,4,NA,NA,NA,Minimal depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Chinese American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,5,<=,9,NA,Mild depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Chinese American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,10,<=,14,NA,Moderate depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Chinese American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,15,<=,19,NA,Moderately severe depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Chinese American,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,20,<=,27,NA,Severe depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Latino,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=,4,NA,NA,NA,Minimal depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Latino,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,5,<=,9,NA,Mild depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Latino,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,10,<=,14,NA,Moderate depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Latino,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,15,<=,19,NA,Moderately severe depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Latino,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,20,<=,27,NA,Severe depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Non-Hispanic White,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=,4,NA,NA,NA,Minimal depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Non-Hispanic White,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,5,<=,9,NA,Mild depression,NA,NA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1924626/,2,PHQ-9 Total Score,Patient Health Questionnaire (PHQ-9),Non-Hispanic White,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,10,<=,14,NA,Moderate depression,NA,NA
